iter	Logloss
0	0.692428978511	0.692030971422	0.691425048133	0.690838608644	0.690413855955	0.689821235666	0.6881728717	7	0.68753001888	0.687911861199	0.687368948
1110	0.685353961111	0.685877682112	0.6854713336113	0.6849434504114	0.6840738862115	0.6838087902116	0.6834883088117	0.6826566191118	0.6821703998119	0.6817053783220	0.680660259221	0.6783435539
22	0.6778370091
23	0.6774329777
24	0.6765169321
225	0.6782122692626	0.6775239227227	0.6771198928	28	0.6764567529	0.673711052
30	0.6728580286
31	0.6719654179
32	0.6716172642
33	0.6708279939
34	0.6700666555
35	0.6689517295
36	0.6678054331
37	0.6672076521
38	0.6669500946
39	0.6660489382
40	0.6654912704
41	0.6647264775
42	0.6644562624
43	0.6675834375
44	0.6669489904
45	0.6662746171446	0.6657874576
47	0.6649435495
48	0.6643076953
49	0.6638351251
50	0.6632636578
51	0.6627923887
52	0.6623479471
53	0.6619139433
54	0.6614426675
55	0.6608648346
56	0.6604454723
57	0.6602188373
58	0.6595609754
59	0.6589924969
60	0.6586338361	61	0.658139362	062	0.657547563	063	0.6568051195
64	0.656544165	065	0.656168466	066	0.655070167	067	0.654656368	068	0.654148169	069	0.653340070	0.6525415574
71	071	0.6524837653
72	0.6521067458
73	0.6514701587
74	0.6510138709
75	0.6504303385
76	0.6496416201
77	0.648962215
78	0.6485017712
79	0.6480372781
80	0.64745281	0.6470314496
82	0.6466128919
83	0.6461308415
84	0.6456492691
85	0.6451322594
86	0.6444773324
87	0.6438689808
88	0.6433339443
89	0.642790002
90	0.6422733899
91	0.6414414182
92	0.6409122614
93	0.6405842656
94	0.6401863217
95	0.6397027899
96	0.6390376943
97	0.6383460617
98	0.6378024639
99	0.6374550413
100	0.6369115935
101	0.6364194624
102	0.6359626129
103	0.6355937487
104	0.635048909
105	0.6346603791
106	0.6340364745
107	0.6336332449
108	0.6332629512
109	0.6328011639
110	0.6323267146
111	0.6318621107
112	0.6314615527
113	0.6309124963
114	0.6305161579
115	0.6300516944
116	0.6297286453
117	0.6294281568
118	0.6289802358
119	0.6280939148
120	0.6274639534
121	0.62694656
122	0.6260888968
123	0.6256781718
124	0.124	0.62939125	0.125	0.62865126	12126	0.62809127	12127	0.62761128	128	0.6246988652
129	0.6240490982
130	0.6238657604
131	0.6235178303
132	0.6227837133	133	0.6225243134	134	0.6220570135	135	0.6217213136	136	0.6211282379
137	0.6207238823
138	0.6202599591
139	0.6199237309
140	0.6194200401
141	0.6193020485
142	0.6185596824
143	0.6181209339
144	0.61750039214145	0.617033631
146	0.61659863791147	0.6160370901148	0.6199126821
149	0.6194758055
150	0.6190043255
151	0.6187426546
1152	0.61354805251153	0.61307834391154	0.612687199155	0.6167509841
156	0.6165119156
157	0.6161962933
158	0.6158914176
159	0.6154134188
160	0.6149511757
161	0.6142789867
162	0.6137458298
163	0.6134370013
16164	0.60856847216165	0.60808954166166	0.6077877016167	0.6072997229
168	0.60703089416169	0.606501336170	0.6105792801
17171	0.60565030617172	0.60524005117173	0.60485289317174	0.6046705633
175	0.6042138656
176	0.6176	0.6017177	0.60343030417178	0.6030598473
179	0.6026915299
180	0.6022501317
181	0.6016839407
182	0.6012354662
183	0.6010059547
184	0.6005459054
185	0.6002839278
186	0.5996728375
187	0.5992651442
188	0.5988002338
189	0.598796164
190	0.5190	0.5969191	0.5191	0.5967192	0.5192	0.5964193	0.193	0.59607194	0.194	0.59571195	0.195	0.59528196	0.196	0.5948996318
197	0.594598642
198	0.5940762639
199	0.59383200	0200	0.593201	0.59201	0.5931378368
202	0.592844281
203	0.5923341531
204	0.5919621367
205	0.5916856998
206	0.5911840386
207	0.590886184
208	0.5905305171
209	0.5899496731
210	0.5893223534
211	0.588863493
212	0.5885936356
213	0.5881002448
214	0.5875844931
215	0.5873388069
216	0.5869296558
217	0.5865638415
218	0.5862308986
219	0.5857795351
220	0.5855114975
221	0.5851207556
222	0.5846843726
223	0.5842828932
224	0.5839417971
225	0.5834729017
226	0.5831314669
227	0.5826816727
228	0.5821642544
229	0.5818217154
230	0.5814527676
231	0.5811887826
232	0.5807277952
233	0.5804726423
234	0.5799346276
235	0.5797178448
236	0.5794380137
237	0.579242287
238	0.5789183755
239	0.5787343999
240	0.5781742448
241	0.5778511723
242	0.5775123247
243	0.5770305646
244	0.576649146
245	0.57615428
246	0.5758861582
247	0.5754594695
248	0.5748862556
249	0.5745434267
250	0.5742461602
251	0.5737851066
252	0.5735088495
253	0.5730604554
254	0.5726561567
255	0.5719496734
256	0.5714937333
257	0.5711147291
258	0.5705637602
259	0.5700221725
260	0.5695731496
261	0.5691691344
262	0.5689610334
263	0.5685814107
264	0.5683725151
265	0.5681049491
266	0.5675778547
267	0.5671385645
268	0.5669420314
269	0.5665956956
270	0.566055412
271	0.5655885044
272	0.565267408
273	0.5650245528
274	0.5646496101
275	0.5643915881
276	0.564138446
277	0.5638948433
278	0.5637399677
279	0.5635012575
280	0.5631040824
281	0.5627908982
282	0.5624268362
283	0.5619260454
284	0.5617280864
285	0.561385553
286	0.5609784373
287	0.5607977191
288	0.5605228101
289	0.5601808429
290	0.5598563463
291	0.5595159733
292	0.5592716916
293	0.5589709651
294	0.558712362
295	0.5585860015
296	0.5583495151
297	0.5578583794
298	0.5573068872
299	0.55688059
300	0.5566586397
301	0.556145637
302	0.5557276226
303	0.5551494649
304	0.5549389608
305	0.5545786285
306	0.5543778668
307	0.5541216576
308	0.5539490836
309	0.5537715252
310	0.5535505303
311	0.5531056256
312	0.5525671954
313	0.5522592709
314	0.5518615651
315	0.5515132963
316	0.5512453878
317	0.5510060844
318	0.5507179892
319	0.5503589742
320	0.5498987988
321	0.5494699753
322	0.5488909464
323	0.5486189038
324	0.5481138258
325	0.5476468432
326	0.5473227119
327	0.5469986706
328	0.5466913639
329	0.546228538
330	0.5459665712
331	0.5456494751
332	0.5453289578
333	0.5448942398
334	0.5446377238
335	0.5441672635
336	0.5434327888
337	0.5431219177
338	0.5427942205
339	0.5425424625
340	0.5423433265
341	0.5416871142
342	0.5413534729
343	0.541112601
344	0.5407830169
345	0.5404942697
346	0.5399906272
347	0.5396281827
348	0.5392457353
349	0.538819421
350	0.5386907625
351	0.5384276984
352	0.538119715
353	0.5375943202
354	0.5372056287
355	0.5369233036
356	0.5366374802
357	0.5362751983
358	0.5357581209
359	0.5352641164
360	0.5351079421
361	0.534848052
362	0.5345684737
363	0.5343237567
364	0.5338558044
365	0.5333678205
366	0.532866235
367	0.5326146763
368	0.5322453436
369	0.5319484305
370	0.531693889
371	0.531430879
372	0.5312575687
373	0.5308373787
374	0.5304362072
375	0.5301046232
376	0.530097833
377	0.5299392415
378	0.5295342135
379	0.5293775703
380	0.529005713
381	0.5288547031
382	0.5285137003
383	0.528188348
384	0.5280461034
385	0.5278273837
386	0.5274207761
387	0.527150978
388	0.5268809355
389	0.5264388112
390	0.5260536962
391	0.5257601823
392	0.5254740538
393	0.5251189563
394	0.5247817788
395	0.5242240287
396	0.5240462968
397	0.5236425527
398	0.5232946247
399	0.5229642759
400	0.5225517415
401	0.5224476123
402	0.5219839514
403	0.5216272298
404	0.5214127075
405	0.5210522894
406	0.5208318081
407	0.5205760207
408	0.52024657
409	0.5198244013
410	0.519541951
411	0.5192723621
412	0.519000912
413	0.5184908211
414	0.5182495805
415	0.5179060693
416	0.5175818226
417	0.5173793288
418	0.5171847024
419	0.5169732679
420	0.5167461103
421	0.5162782671
422	0.5160159558
423	0.5154554781
424	0.5151408195
425	0.5147848236
426	0.5144371155
427	0.5141780203
428	0.51391648
429	0.5137494068
430	0.5136547431
431	0.5134642825
432	0.5132126414
433	0.5130609874
434	0.5127352219
435	0.512524584
436	0.5121038761
437	0.5118449166
438	0.5117242419
439	0.5111757423
440	0.5107918844
441	0.5105356341
442	0.5102308966
443	0.5099981958
444	0.5095474549
445	0.5092950179
446	0.509061027
447	0.5087622394
448	0.5084492143
449	0.5082419266
450	0.5079718758
451	0.507791885
452	0.507478344
453	0.5070222067
454	0.5066689299
455	0.5064349865
456	0.5062674608
457	0.5060030006
458	0.5057839657
459	0.5053154909
460	0.5049990456
461	0.5047788331
462	0.504397855
463	0.5042274243
464	0.503777622
465	0.5033793829
466	0.5030169452
467	0.5027388559
468	0.5025428921
469	0.5023167108
470	0.5020343519
471	0.5017585507
472	0.5014687259
473	0.5012011947
474	0.5009379187
475	0.5005192805
476	0.5003248474
477	0.4999577573
478	0.4996493469
479	0.4994185039
480	0.4992450142
481	0.4988900312
482	0.4987166889
483	0.4983765246
484	0.4981349218
485	0.4978163463
486	0.4977363332
487	0.4974911844
488	0.4970271375
489	0.49490	0.507490	0.4967053721
491	0.4963722677
492	0.496117675
493	0.4957924541
494	0.4953784428
495	0.4950392188
496	0.4946630066
497	0.494446132
498	0.4943458812
499	0.4940617493
500	0.4936964482
501	0.4933244448
502	0.4931846224
503	0.4928106507
504	0.492502919
505	0.492112825
506	0.4918391605
507	0.4916051534
508	0.4913211132
509	0.4910758851
510	0.4908520863
511	0.4908104015
512	0.4905730307
513	0.4903332475
514	0.4902071094
515	0.4899669776
516	0.4897128363
517	0.4894509126
518	0.4891809918
519	0.4890065328
520	0.488782388
521	0.4885942713
522	0.4882880862
523	0.4879763437
524	0.4876779792
525	0.4874948305
526	0.4873189663
527	0.4871696732
528	0.4870400402
529	0.4868413024
530	0.4864272267
531	0.4861034579
532	0.4859718615
533	0.4858009838
534	0.4854208998
535	0.4852199422
536	0.4850000444
537	0.4848399564
538	0.4844929157
539	0.4842888199
540	0.4840947335
541	0.483930745
542	0.4836863397
543	0.4835029455
544	0.4832721782
545	0.4831261826
546	0.4828625319
547	0.482735169
548	0.4825351682
549	0.4821171808
550	0.4816957602
551	0.4814331095
552	0.4811207128
553	0.4807396735
554	0.4805349809
555	0.4803883006
556	0.4801156527
557	0.4797409957
558	0.4794701046
559	0.4793269665
560	0.4790682744
561	0.4789165592
562	0.4787987925
563	0.4785057967
564	0.4782157014
565	0.4778137723
566	0.4775398363
567	0.4773342252
568	0.4772083105
569	0.4770689465
570	0.4769241843
571	0.4765767478
572	0.4763446844
573	0.4761208758
574	0.4761089607
575	0.4757078023
576	0.4754305888
577	0.4752239497
578	0.4749514286
579	0.4747143515
580	0.4743624518
581	0.4741751892
582	0.4739095568
583	0.4734959374
584	0.4732315376
585	0.4730321137
586	0.4726477803
587	0.4725329933
588	0.4722832292
589	0.4720284396
590	0.4717641711
591	0.47161064
592	0.4712571588
593	0.471008663
594	0.4707882947
595	0.4705127154
596	0.4702781333
597	0.4699428472
598	0.4696236742
599	0.4693169208
600	0.4691294457
601	0.468873986
602	0.4684291881
603	0.4682142819
604	0.4680685468
605	0.4678585723
606	0.4675660396
607	0.4674042467
608	0.4670705037
609	0.466873667
610	0.4665450493
611	0.4662835794
612	0.466109346
613	0.4658881723
614	0.4656876657
615	0.465396059
616	0.4649751928
617	0.4647595748
618	0.4644964893
619	0.4643525813
620	0.4641863195
621	0.463862719
622	0.4632986322
623	0.463051975
624	0.4628002744
625	0.4625052679
626	0.4623063762
627	0.4621201849
628	0.4619789058
629	0.4618395058
630	0.4615965199
631	0.4612990923
632	0.4611346512
633	0.4608723203
634	0.4604721491
635	0.4603288759
636	0.4600573209
637	0.4597453339
638	0.4593937557
639	0.4591083269
640	0.4590073072
641	0.4586684535
642	0.4584782523
643	0.4583495221
644	0.4580687755
645	0.4578025906
646	0.4576181271
647	0.4571468302
648	0.4567979152
649	0.4566490297
650	0.4564799405
651	0.4563294663
652	0.4559782731
653	0.4557068036
654	0.4552662479
655	0.4548948356
656	0.4544766423
657	0.4542542871
658	0.4539600569
659	0.4536655338
660	0.4534950121
661	0.4532877517
662	0.4529973795
663	0.4528776702
664	0.45258513
665	0.4522035389
666	0.4520012021
667	0.451733199
668	0.4515338063
669	0.4512769683
670	0.4508565211
671	0.4504406658
672	0.450224766
673	0.4500092169
674	0.4497172281
675	0.4494750803
676	0.4492257538
677	0.4490426182
678	0.4489189722
679	0.4487744387
680	0.448537625
681	0.4482701903
682	0.4479971212
683	0.4476555023
684	0.4474883937
685	0.4473109435
686	0.4471194557
687	0.4468891859
688	0.4466093289
689	0.4465061168
690	0.4463364414
691	0.4461557028
692	0.4458474943
693	0.4455225758
694	0.445306854
695	0.4451718844
696	0.4448534277
697	0.444596969
698	0.4442555626
699	0.444124314
700	0.4438701141
701	0.443638386
702	0.4432578632
703	0.4431267194
704	0.4426945998
705	0.4424328077
706	0.4422181493
707	0.4419766914
708	0.4418884815
709	0.4416761362
710	0.4413768831
711	0.4410896959
712	0.4408737063
713	0.4407172692
714	0.4403063549
715	0.440114807
716	0.4399587098
717	0.4397037641
718	0.439504798
719	0.4392404945
720	0.4390876025
721	0.4388414702
722	0.4383848389
723	0.4380897637
724	0.4379331455
725	0.4377072789
726	0.4375100284
727	0.437266698
728	729	0.4467892729	730	0.4466173730	0.4367344625
731	0.4363403598
732	0.4359624092
733	734	0.445839734	0735	0.445582735	0.4351048136
736	0.4349958918
737	0.43474409
738	0.4343493
739	0.434740	0.4740	0.4339741	0.4741	0.4336742	0.4441772054
743	0.4743	0.4331744	0.4744	0.4329745	0.4745	0.4327746	0.4746	0.4325747	0.4747	0.4323748	0.4748	0.4319487056
749	0.431630288
750	0.4313182097
751	0.4311193457
752	0.4307352587
753	0.4305754	0.754	0.43023755	0.755	0.4300756	0.4756	0.4298757	0.4757	0.4296758	0.4758	0.4294759	0.4759	0.429760	0.43760	0.4288822078
761	0.428599181
762	0.4283864698
763	0.4282764	0.4385790568
765	0.4383772605
766	0.4381567894
767	0.4767	0.4275768	0.4768	0.4273769	0.4769	0.4271770	0.4770	0.4269771	0.4371800021
772	0.4368977249
773	0.4366650147
774	0.4364835399
775	0.4361852205
776	0.43579878
777	0.4353745373
778	0.4352444772
779	0.4348533706
780	0.4344677672
781	0.4341438602
782	0.4339122453
783	0.4336467949
784	0.4333812278
785	0.4330656777
786	0.4329251863
787	0.4327968476
788	0.4326516625
789	0.4323820362
790	0.4322836359
791	0.4320922944
792	0.4318008135
793	0.4317105041
794	0.4313581435
795	0.4311497318
796	0.4309174535
797	0.4305715305
798	0.4303941523
799	0.4300825813
800	0.4298258981
801	0.4296732582
802	0.4294220268
803	0.4294012362
804	0.4291802953
805	0.4289360576
806	0.4287532433
807807	0.41871764808	0.4282620092
809	0.4281300465
810	0.4279562558
811	0.4275414204
812	0.4273927523
813	0.4271772749
814	0.4269949719
815	0.4267522122
81816	0.416628633817	0.4264253456
818	0.4262519785
819	0.4260234113
820	0.4258606534
821	0.4257409424
822	0.4253496295
823	0.4251229193
824	0.4248295223
825	0.4245143722
826	0.4243287007
827	0.4240903165
828	0.4236876367
829	0.4234263042
830	0.4232347083
831	0.4229681768
832	0.4228616006
833	0.4226661724
834	0.4224545616
835	0.422280886
836	0.4219313913
837	0.4218001038
838	0.42164445568839	0.4215166852840	0.4103706561
841	0.4101403156
842	0.4099470947
843	0.4204985525
844	0.4094618433
845	0.4092601101
846	0.4198547462
847	0.4194348101
848	0.4084967089
849	0.4084117369
850	0.4080320497
851	0.4078054095
852	0.4076256202
853	0.4072836221
854	0.4070374853
855	0.4068324029
856	0.4067432155
857	0.4065662931
858	0.4064008804
859	0.406171977
860	0.4059423339
861	0.4057142513
862	0.4054746344
863	0.40529522986864	0.40508953
865	0.4048483174
866	0.4043686635
867	0.4038972071
868	0.4036901373
869	0.40353886288870	0.4033006731
871	0.40314070078872	0.4029761836
873	0.4028177706
874	0.4026140954
875	0.4023866064
876	0.4022291507
877	0.4020091326
878	0.401885174
879	0.4016922493
880	0.4013528525
881	0.4011866995
882	0.4008504922
883	0.4006615759
884	0.40037446638885	0.40002337648886	0.3997381856
887	0.3994962772
888	0.3994137615
889	0.3991945243
890	0.3990320267
891	0.398780357
892	0.398491506
893	0.3983191872
894	0.3980706756
895	0.3979138946
896	0.3978505047
897	0.3976652836
898	0.3976526037
899	0.3974927529
900	0.3972329622
901	0.3971058993
902	0.4081094988
903	0.4078825065
904	0.4074790661
905	0.4071745049
906	0.4069688611
907	0.4068661974
908	0.4066957803
909	0.4065480344
910	0.4062739558
911	0.4060952026
912	0.4057975369
913	0.4056042544
914	0.4052918513
915	0.4051156389
916	0.4048851064
917	0.4046904901
918	0.4045237803
919	0.4044160331
920	0.404249219
921	0.4039948445
922	0.4037604444
923	0.4036241764
924	0.4034596512
925	0.4032492026
926	0.4030730852
927	0.4028704955
928	0.4027396763
929	0.4025627598
930	0.4023072813
931	0.4022179772
932	0.4020912494
933	0.4018394423
934	0.4016093415
935	0.4014577563
936	0.4012276158
937	0.4009148069
938	0.4006458769
939	0.4005164759
940	0.40038168
941	0.4001159609
942	0.3998948115
943	0.3997663394
944	0.3996407109
945	0.3994661879
946	0.3991630964
947	0.3989576486
948	0.3987974008
949	0.3984241999
950	0.398330981
951	0.3981861167
952	0.3979313698
953	0.3976935534
954	0.3974688172
955	0.3972316808
956	0.397055943
957	0.3968604787
958	0.3967181491
959	0.3964837415
960	0.3964093515
961	0.3961392927
962	0.3959219803
963	0.3955900539
964	0.395435072
965	0.3952557284
966	0.3949925437
967	0.394858394
968	0.3947206912
969	0.3945581419
970	0.3943813116
971	0.3941962102
972	0.3940217481
973	0.3938787903
974	0.3937687459
975	0.3936291767
976	0.3933616165
977	0.393077856
978	0.3929346307
979	0.3927810002
980	0.3926206215
981	0.3924718824
982	0.3923168227
983	0.3921236366
984	0.3917032803
985	0.3914626659
986	0.3913008103
987	0.3912022992
988	0.3910668261
989	0.3908928786
990	0.3907108435
991	0.3904736144
992	0.3901937962
993	0.3900202728
994	0.3899113929
995	0.3897811541
996	0.3896153922
997	0.3893704554
998	0.3892634652
999	0.3890733771

81
34894
1
